Time,Name,ID,CPUPerc,MemUsage,MemTotal,MemPerc,NetInput,NetOutput,BlockInput,BlockOutput,PIDs
1632098663,acmeair,c1688cddc438,94.75%,9.293MiB,2GiB,0.45%,9.17GB,10.4GB,401kB,4.1kB,23
1632098668,mongo,27794d582dbc,57.46%,690.3MiB,2GiB,33.71%,3.56GB,5.07GB,795kB,1.21GB,35
1632098668,acmeair,c1688cddc438,96.49%,9.293MiB,2GiB,0.45%,9.18GB,10.4GB,401kB,4.1kB,23
1632098673,mongo,27794d582dbc,57.84%,691MiB,2GiB,33.74%,3.57GB,5.08GB,795kB,1.21GB,35
1632098673,acmeair,c1688cddc438,93.76%,9.289MiB,2GiB,0.45%,9.19GB,10.4GB,401kB,4.1kB,23
1632098678,mongo,27794d582dbc,57.42%,692.6MiB,2GiB,33.82%,3.58GB,5.09GB,795kB,1.21GB,35
1632098678,acmeair,c1688cddc438,94.44%,9.289MiB,2GiB,0.45%,9.21GB,10.4GB,401kB,4.1kB,23
1632098683,mongo,27794d582dbc,58.17%,693.3MiB,2GiB,33.85%,3.58GB,5.09GB,795kB,1.21GB,35
1632098683,acmeair,c1688cddc438,95.31%,9.293MiB,2GiB,0.45%,9.22GB,10.4GB,401kB,4.1kB,23
1632098688,mongo,27794d582dbc,56.13%,694.8MiB,2GiB,33.92%,3.59GB,5.1GB,795kB,1.21GB,35
1632098688,acmeair,c1688cddc438,92.54%,9.293MiB,2GiB,0.45%,9.24GB,10.5GB,401kB,4.1kB,23
1632098693,mongo,27794d582dbc,55.18%,695.6MiB,2GiB,33.96%,3.59GB,5.11GB,795kB,1.22GB,35
1632098693,acmeair,c1688cddc438,95.91%,9.293MiB,2GiB,0.45%,9.25GB,10.5GB,401kB,4.1kB,23
1632098698,mongo,27794d582dbc,55.79%,696.1MiB,2GiB,33.99%,3.6GB,5.11GB,795kB,1.22GB,35
1632098698,acmeair,c1688cddc438,95.59%,9.297MiB,2GiB,0.45%,9.27GB,10.5GB,401kB,4.1kB,23
1632098703,mongo,27794d582dbc,55.99%,696.7MiB,2GiB,34.02%,3.6GB,5.12GB,795kB,1.22GB,35
1632098703,acmeair,c1688cddc438,95.28%,9.297MiB,2GiB,0.45%,9.28GB,10.5GB,401kB,4.1kB,23
1632098708,mongo,27794d582dbc,56.82%,697.5MiB,2GiB,34.06%,3.61GB,5.13GB,795kB,1.22GB,35
1632098708,acmeair,c1688cddc438,96.76%,9.297MiB,2GiB,0.45%,9.29GB,10.5GB,401kB,4.1kB,23
1632098713,mongo,27794d582dbc,56.34%,698.5MiB,2GiB,34.11%,3.61GB,5.14GB,795kB,1.22GB,35
1632098713,acmeair,c1688cddc438,96.59%,9.293MiB,2GiB,0.45%,9.3GB,10.5GB,401kB,4.1kB,23
1632098718,mongo,27794d582dbc,56.04%,699MiB,2GiB,34.13%,3.62GB,5.15GB,795kB,1.23GB,35
1632098718,acmeair,c1688cddc438,96.61%,9.293MiB,2GiB,0.45%,9.32GB,10.5GB,401kB,4.1kB,23
1632098723,mongo,27794d582dbc,40.59%,699.5MiB,2GiB,34.16%,3.62GB,5.15GB,795kB,1.23GB,35
1632098723,acmeair,c1688cddc438,95.59%,9.293MiB,2GiB,0.45%,9.33GB,10.6GB,401kB,4.1kB,23
1632098728,mongo,27794d582dbc,0.20%,699.6MiB,2GiB,34.16%,3.62GB,5.15GB,795kB,1.23GB,35
1632098728,acmeair,c1688cddc438,0.92%,9.145MiB,2GiB,0.45%,9.33GB,10.6GB,401kB,4.1kB,23
1632098733,mongo,27794d582dbc,0.17%,699.6MiB,2GiB,34.16%,3.62GB,5.15GB,795kB,1.23GB,35
1632098733,acmeair,c1688cddc438,0.91%,9.148MiB,2GiB,0.45%,9.33GB,10.6GB,401kB,4.1kB,23
1632098738,mongo,27794d582dbc,0.17%,699.6MiB,2GiB,34.16%,3.62GB,5.15GB,795kB,1.23GB,35
1632098738,acmeair,c1688cddc438,0.75%,9.148MiB,2GiB,0.45%,9.33GB,10.6GB,401kB,4.1kB,23
1632098743,mongo,27794d582dbc,0.19%,699.6MiB,2GiB,34.16%,3.62GB,5.15GB,795kB,1.23GB,35
1632098743,acmeair,c1688cddc438,0.78%,9.148MiB,2GiB,0.45%,9.33GB,10.6GB,401kB,4.1kB,23
1632098748,mongo,27794d582dbc,0.16%,699.6MiB,2GiB,34.16%,3.62GB,5.15GB,795kB,1.23GB,35
1632098748,acmeair,c1688cddc438,0.49%,9.148MiB,2GiB,0.45%,9.33GB,10.6GB,401kB,4.1kB,23
